localityId, localityName, dataId, x, y, latitude, longitude, zone, altitude, horiz_precision, vert_precision, planeType, dip, dipAzimuth, strike, declination, unitId, timedate, notes
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 0f11125d90f466c9276019f02b2fd1dc, 583812.22303580, 5622180.42267016, 50.74535101, 100.18794975, 47U, 12.00000000, 5.00000000, -1.00000000, Bedding, 68.12852478, 296.91113281, 206.91113281, -1.39611816, Dl, Sun Aug 13 05:31:24 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, c505ce48a8ecfd8d9db1fd374bc8333f, 584239.38634252, 5622446.35130217, 50.74768013, 100.19406376, 47U, 3.00000000, 5.00000000, -1.00000000, Cleavage, 63.25991821, 108.75174713, 18.75174713, -1.39611816, Ongoluk, Sun Aug 13 02:57:51 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 69162b51ef6e51044fe781783ef41363, 584239.49979141, 5622446.65145694, 50.74768282, 100.19406544, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 57.40791321, 96.64219666, 6.64219666, -1.39611816, Ongoluk, Sun Aug 13 02:57:04 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, a55e8c3785161d652ae6d9736b04cbb0, 584219.53607528, 5622430.26174784, 50.74753835, 100.19377878, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 77.83745575, 95.44845581, 5.44845581, -1.39611816, Ongoluk, Sun Aug 13 02:54:29 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 6d15c3aa286a81f2b23794f3b8d7afa8, 584220.79422343, 5622430.36595366, 50.74753911, 100.19379663, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 78.06390381, 102.09597015, 12.09597015, -1.39611816, Ongoluk, Sun Aug 13 02:54:06 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, ae78eb196b4ecd6b6dd64827340b3b0a, 584211.29474527, 5622424.53053888, 50.74748802, 100.19366068, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 88.20148468, 280.11782837, 190.11782837, -1.39611816, Carb breccia, Sun Aug 13 02:52:44 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, fce11aa75c63104216ebbe4775e672fe, 584184.67194347, 5622419.07616234, 50.74744284, 100.19328215, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 65.59407806, 278.99285889, 188.99285889, -1.39611816, Carb breccia, Sun Aug 13 02:51:24 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, d48fad0e515e7d276289147bbc0dd083, 584184.29066950, 5622418.87889895, 50.74744112, 100.19327670, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 62.78721237, 286.63760376, 196.63760376, -1.39611816, Carb breccia, Sun Aug 13 02:51:12 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, c96ead71f578af8a9684085834b9cf2e, 584098.08455128, 5622413.33124753, 50.74740374, 100.19205378, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 70.51805115, 282.96224976, 192.96224976, -1.39611816, Phosphorite, Sun Aug 13 02:46:45 2017, 
8fac5ab2ecf3137daa70fec1b62c04c6, Locality 1, 1b11f055ac6033295c2a25a96dd4dc0b, 584097.97944694, 5622413.61389348, 50.74740630, 100.19205236, 47U, 3.00000000, 5.00000000, -1.00000000, Bedding, 58.67242432, 250.57263184, 160.57263184, -1.39611816, Phosphorite, Sun Aug 13 02:46:11 2017, 
