localityId,localityName,dataId,x,y,latitude,longitude,zone,altitude,horiz_precision,vert_precision,planeType,dip,dipAzimuth,strike,declination,rockUnit,timedate,notes
568b7e1f1ca431fec990462450e9c622,Locality 9,ee69411649e9ed8348ba57b5c4203f64,589998.951201,5663900.553595,51.119504,100.285921,47U,1849.525234,10,8, Foliation,78,119,29,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 01:34:05 2019, Mineral fabric
568b7e1f1ca431fec990462450e9c622,Locality 9,4e5399407995023cae654088c836a5be,590013.31541,5663809.587813,51.118684,100.286103,47U,1818.297695,5,8, Foliation,70,80,350,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 01:30:40 2019,
568b7e1f1ca431fec990462450e9c622,Locality 9,68cc25aeb653268b69008fb3993eae3c,590004.540908,5663795.924672,51.118562,100.285974,47U,1816.390713,10,12, Foliation,64,112,22,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 01:28:25 2019, Reddish coarser material  heavily recryst. Likely still aureole metaseds.
568b7e1f1ca431fec990462450e9c622,Locality 9,0976cd2018744fd8992e0e50ab71d9cc,590216.878583,5663582.676089,51.116612,100.288954,47U,1675.661953,5,3, Foliation,73,118,28,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 00:44:18 2019,
568b7e1f1ca431fec990462450e9c622,Locality 9,d7391172c67b95c22dcef2078d04fc8e,590265.817365,5663582.4939,51.116602,100.289653,47U,1676.264736,5,4, Foliation,88,101,11,-2.249, Unidentified volcanic/volcaniclastic,Fri Jul 26 00:41:23 2019, Likely metased  planar mineralogical orientation
